msa,pcrime,pop,year
"Austin, TX","4,134.2","1,435,502",2005
"Baltimore, MD","3,467.6","2,659,312",2005
"Boston, MA","2,229.9","4,416,837",2005
"Buffalo, NY","3,013.1","1,156,031",2005
"Jacksonville, FL","4,511.9","1,253,042",2005
"Las Vegas, NV","4,613.1","1,707,257",2005
"Los Angeles, CA","2,752.8","13,011,161",2005
"Miami, FL","4,508.5","5,482,749",2005
"New York, NY","1,975.7","18,741,475",2005
"Oklahoma City, OK","5,345.4","1,152,229",2005
"Orlando, FL","4,314.0","1,903,731",2005
"Phonenix, AZ","5,236.0","3,841,790",2005
"Pittsburgh, PA","2,433.8","2,406,091",2005
"Rochester, NY","3,018.5","1,042,990",2005
"Salt Lake City, UT","5,287.2","1,053,174",2005
"San Diego, CA","3,307.9","2,951,182",2005
"San Francisco, CA","3,876.7","4,181,453",2005
"Seattle, WA","5,348.1","3,209,692",2005
