msa,pcrime,pop,year,nfl,playoff,pcinc
"Austin, TX",4304.90,1192230,2000,0,0,33418
"Baltimore, MD",4501.80,2551398,2000,1,1,34559
"Boston, MA",2474.10,3573108,2000,1,0,42565
"Buffalo, NY",3244.50,1193158,2000,1,0,28107
"Jacksonville, FL",5006.20,1117228,2000,1,0,30424
"Las Vegas, NV",4028.40,1521236,2000,0,0,31112
"Los Angeles, CA",3036.00,9534500,2000,0,0,31952
"Miami, FL",6855.80,2301055,2000,1,1,32476
"New Orleans, LA",5044.00,1334426,2000,1,1,27284
"New York, NY",2666.20,9111706,2000,1,1,41042
"Oklahoma City, OK",5829.50,1075023,2000,0,0,26675
"Orlando, FL",5124.10,1623494,2000,0,0,27700
"Phonenix, AZ",5644.80,3235892,2000,1,0,29045
"Pittsburgh, PA",2268.10,2398928,2000,1,0,30749
"Rochester, NY",3361.00,1123264,2000,0,0,29996
"Salt Lake City, UT",5053.20,1336937,2000,0,0,27626
"San Diego, CA",2798.20,2882676,2000,1,0,33869
"San Francisco, CA",3392.60,1722596,2000,1,0,49630
"Seattle, WA",4837.50,2375924,2000,1,0,38917
"Austin, TX",4478.10,1278125,2001,0,0,35436
"Baltimore, MD",4438.70,2590914,2001,1,1,35852
"Boston, MA",2546.80,3422303,2001,1,1,43602
"Buffalo, NY",3150.40,1172265,2001,1,0,28349
"Jacksonville, FL",4986.30,1129007,2001,1,0,30815
"Las Vegas, NV",3858.10,1644604,2001,0,0,31811
"Los Angeles, CA",3106.60,9696252,2001,0,0,32839
"Miami, FL",6446.90,2311752,2001,1,1,33604
"New Orleans, LA",4961.40,1336665,2001,1,0,29044
"New York, NY",2400.80,9331378,2001,1,1,42343
"Oklahoma City, OK",5534.50,1086308,2001,0,0,28525
"Orlando, FL",5195.80,1687175,2001,0,0,27608
"Phonenix, AZ",5860.30,3363872,2001,1,0,29137
"Pittsburgh, PA",2413.70,2359866,2001,1,1,31775
"Rochester, NY",3246.20,1100221,2001,0,0,30663
"Salt Lake City, UT",4812.80,1355788,2001,0,0,27780
"San Diego, CA",3051.70,2866126,2001,1,0,34325
"Seattle, WA",4906.30,2453063,2001,1,0,38940
"Austin, TX",4391.00,1305388,2002,0,0,34540
"Baltimore, MD",4134.20,2630914,2002,1,0,36904
"Boston, MA",2466.80,3448359,2002,1,0,43037
"Buffalo, NY",3035.20,1181277,2002,1,0,28905
"Jacksonville, FL",4984.50,1150811,2002,1,0,31327
"Las Vegas, NV",4132.30,1696624,2002,0,0,31672
"Los Angeles, CA",3095.90,9869056,2002,0,0,33364
"Miami, FL",6054.40,2356396,2002,1,0,34019
"New Orleans, LA",4488.00,1341821,2002,1,0,29705
"New York, NY",2256.20,9403110,2002,1,1,42013
"Oklahoma City, OK",5923.20,1096867,2002,0,0,28981
"Orlando, FL",4893.20,1719756,2002,0,0,27873
"Phonenix, AZ",6274.50,3458385,2002,1,0,29415
"Pittsburgh, PA",2401.00,2369073,2002,1,1,32260
"Rochester, NY",3181.80,1108681,2002,0,0,30830
"Salt Lake City, UT",5080.10,1383544,2002,0,0,28211
"San Diego, CA",3130.90,2917208,2002,1,0,35314
"San Francisco, CA",3363.90,1794784,2002,1,1,48369
"Seattle, WA",4866.10,2486255,2002,1,0,38991
"Baltimore, MD",3818.00,2626193,2003,1,1,38132
"Boston, MA",2384.50,4453436,2003,1,1,43729
"Jacksonville, FL",4563.50,1199156,2003,1,0,32734
"Las Vegas, NV",4560.60,1569549,2003,0,0,32545
"Los Angeles, CA",2954.10,12878801,2003,0,0,34835
"Miami, FL",5030.10,5327879,2003,1,0,34739
"New Orleans, LA",4320.80,1319270,2003,1,0,30326
"New York, NY",2168.40,18659493,2003,1,0,42401
"Oklahoma City, OK",5885.70,1126991,2003,0,0,30600
"Orlando, FL",4539.00,1784264,2003,0,0,28776
"Phonenix, AZ",5852.60,3579924,2003,1,0,30363
"Pittsburgh, PA",2407.80,2424149,2003,1,0,33057
"Rochester, NY",3377.40,1044556,2003,0,0,31368
"Salt Lake City, UT",5577.40,1012356,2003,0,0,28673
"San Diego, CA",3290.10,2937155,2003,1,0,37078
"San Francisco, CA",4058.40,4223349,2003,1,0,49168
"Seattle, WA",5048.70,3157999,2003,1,1,39965
"Baltimore, MD",3660.40,2639571,2004,1,0,40044
"Boston, MA",2326.90,4433110,2004,1,1,46173
"Buffalo, NY",2993.90,1161677,2004,1,0,31199
"Jacksonville, FL",4492.40,1229623,2004,1,0,34281
"Las Vegas, NV",4550.10,1642396,2004,0,0,34649
"Los Angeles, CA",2864.10,12977272,2004,0,0,36797
"Miami, FL",4787.90,5406289,2004,1,0,37113
"New Orleans, LA",4425.30,1323234,2004,1,0,30671
"New York, NY",2076.50,18709053,2004,1,1,44354
"Oklahoma City, OK",5715.00,1136530,2004,0,0,32088
"Orlando, FL",4237.60,1843041,2004,0,0,30189
"Phonenix, AZ",5478.00,3698377,2004,1,0,32501
"Pittsburgh, PA",2370.70,2418291,2004,1,1,34531
"Rochester, NY",3337.20,1043204,2004,0,0,32542
"Salt Lake City, UT",5482.60,1021294,2004,0,0,30030
"San Diego, CA",3285.00,2964696,2004,1,1,39834
"San Francisco, CA",4043.90,4205336,2004,1,0,52029
"Seattle, WA",5094.60,3178846,2004,1,1,42984
"Austin, TX",4134.20,1435502,2005,0,0,36658
"Baltimore, MD",3467.60,2659312,2005,1,0,42042
"Boston, MA",2229.90,4416837,2005,1,1,48531
"Buffalo, NY",3013.10,1156031,2005,1,0,31690
"Jacksonville, FL",4511.90,1253042,2005,1,1,36394
"Las Vegas, NV",4613.10,1707257,2005,0,0,37863
"Los Angeles, CA",2752.80,13011161,2005,0,0,39202
"Miami, FL",4508.50,5482749,2005,1,0,40020
"New York, NY",1975.70,18741475,2005,1,1,46304
"Oklahoma City, OK",5345.40,1152229,2005,0,0,34520
"Orlando, FL",4314.00,1903731,2005,0,0,31772
"Phonenix, AZ",5236.00,3841790,2005,1,0,34883
"Pittsburgh, PA",2433.80,2406091,2005,1,1,36004
"Rochester, NY",3018.50,1042990,2005,0,0,33113
"Salt Lake City, UT",5287.20,1053174,2005,0,0,32481
"San Diego, CA",3307.90,2951182,2005,1,0,41543
"San Francisco, CA",3876.70,4181453,2005,1,0,55307
"Seattle, WA",5348.10,3209692,2005,1,1,43956
